Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,"Hi, Mom","$821,551,072",-,-,"$821,551,072",100%
2,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
3,Godzilla vs. Kong,"$338,600,000","$70,000,000",20.7%,"$268,600,000",79.3%
4,A Writer's Odyssey,"$149,506,203","$110,779",<0.1%,"$149,395,424",99.9%
5,Raya and the Last Dragon,"$104,622,415","$35,302,329",33.7%,"$69,320,086",66.3%
6,Tom and Jerry,"$99,997,000","$41,197,000",41.2%,"$58,800,000",58.8%
7,Endgame,"$91,815,762","$23,149",<0.1%,"$91,792,613",100%
8,Boonie Bears: The Wild Life,"$77,725,611",-,-,"$77,725,611",100%
9,Evangelion: 3.0+1.0 Thrice Upon a Time,"$62,323,726",-,-,"$62,323,726",100%
10,Nazha Reborn,"$56,088,478",-,-,"$56,088,478",100%
11,Avatar 2021 Re-release,"$54,634,048",-,-,"$54,634,048",100%
12,Sister,"$52,800,000",-,-,"$52,800,000",100%
13,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
14,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
15,I Fell in Love Like A Flower Bouquet,"$31,946,381",-,-,"$31,946,381",100%
16,The Little Things,"$29,755,000","$15,155,000",50.9%,"$14,600,000",49.1%
17,Nobody,"$28,994,735","$15,623,735",53.9%,"$13,371,000",46.1%
18,Master,"$28,692,230",-,-,"$28,692,230",100%
19,The Last Warrior: Root of Evil,"$28,338,091",-,-,"$28,338,091",100%
20,The Marksman,"$21,629,006","$15,215,143",70.3%,"$6,413,863",29.7%
21,Chaos Walking,"$21,283,521","$12,683,521",59.6%,"$8,600,000",40.4%
22,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
23,Gintama: The Final,"$16,971,401",-,-,"$16,971,401",100%
24,The Dry,"$16,648,637",-,-,"$16,648,637",100%
25,Bo Gia,"$15,516,889",-,-,"$15,516,889",100%
26,Upon the Magic Roads,"$13,284,522",-,-,"$13,284,522",100%
27,Mortal Kombat,"$10,700,000",-,-,"$10,700,000",100%
28,Krack,"$10,442,916",-,-,"$10,442,916",100%
29,Minari,"$10,391,772","$2,151,855",20.7%,"$8,239,917",79.3%
30,Meitantei Conan: Hiiro no fuzai shômei,"$10,308,627",-,-,"$10,308,627",100%
31,Peter Rabbit 2,"$10,200,000",-,-,"$10,200,000",100%
32,Ji hun,"$9,600,000",-,-,"$9,600,000",100%
33,"Caution, Hazardous Wife: The Movie","$7,854,817",-,-,"$7,854,817",100%
34,Monkey King Reborn,"$7,290,000",-,-,"$7,290,000",100%
35,The Courier,"$7,179,317","$4,910,448",68.4%,"$2,268,869",31.6%
36,The Unholy,"$6,967,056","$6,733,474",96.6%,"$233,582",3.4%
37,Judas and the Black Messiah,"$5,990,000","$5,285,000",88.2%,"$705,000",11.8%
38,Penguin Bloom,"$5,908,280",-,-,"$5,908,280",100%
39,Brave: Gunjyo Senki,"$5,677,186",-,-,"$5,677,186",100%
40,Suicide Forest Village,"$5,584,171",-,-,"$5,584,171",100%
41,Octonauts: The Ring of Fire,"$5,300,000",-,-,"$5,300,000",100%
42,The Eleventh Chapter,"$5,170,000",-,-,"$5,170,000",100%
43,Dad,"$5,015,023",-,-,"$5,015,023",100%
44,Red,"$4,920,261",-,-,"$4,920,261",100%
45,Nomadland,"$4,820,723","$2,143,000",44.5%,"$2,677,723",55.5%
46,Under the Open Sky,"$4,702,781",-,-,"$4,702,781",100%
47,The Relatives,"$4,300,000",-,-,"$4,300,000",100%
48,Boogie,"$4,156,995","$4,156,995",100%,-,-
49,Mission Possible,"$3,563,279",-,-,"$3,563,279",100%
50,Tomorrow Will Be Fine,"$3,520,000",-,-,"$3,520,000",100%
51,Wrong Turn,"$3,519,827","$1,064,097",30.2%,"$2,455,730",69.8%
52,The Sun Does Not Move,"$3,483,187",-,-,"$3,483,187",100%
53,Kiba: The Fangs of Fiction,"$3,391,799",-,-,"$3,391,799",100%
54,The Mauritanian,"$3,336,536","$836,536",25.1%,"$2,500,000",74.9%
55,Girls und Panzer das Finale: Part III,"$2,582,956",-,-,"$2,582,956",100%
56,Land,"$2,577,830","$2,577,830",100%,-,-
57,High Ground,"$2,338,837",-,-,"$2,338,837",100%
58,Roohi,"$2,297,636",-,-,"$2,297,636",100%
59,Yakuza and the Family,"$2,168,905",-,-,"$2,168,905",100%
60,Couple from the Future,"$2,149,883",-,-,"$2,149,883",100%
61,30 Rojullo Preminchadam Ela?,"$2,088,571",-,-,"$2,088,571",100%
62,The Night Beyond the Tricornered Window,"$2,081,564",-,-,"$2,081,564",100%
63,Mumbai Saga,"$2,023,431",-,-,"$2,023,431",100%
64,Alludu Adhurs,"$1,915,032",-,-,"$1,915,032",100%
65,Signal: The Movie,"$1,747,428",-,-,"$1,747,428",100%
66,The Con-Heartist,"$1,629,745",-,-,"$1,629,745",100%
67,One Second Champion,"$1,555,558",-,-,"$1,555,558",100%
68,La La Land 2020 Re-release,"$1,456,649",-,-,"$1,456,649",100%
69,Eeswaran,"$1,413,760",-,-,"$1,413,760",100%
70,Voyagers,"$1,379,988","$1,379,988",100%,-,-
71,Boss Level,"$1,366,080",-,-,"$1,366,080",100%
72,New Year Blues,"$1,344,633",-,-,"$1,344,633",100%
73,The Girl Who Believes in Miracles,"$1,282,225","$1,282,225",100%,-,-
74,I Care a Lot,"$1,274,561",-,-,"$1,274,561",100%
